id,full_name,p_b,job,country,state,city,marketing,series,no_of_units,warranty
2094,Boot Ridsdole,Personal,Software Engineer,United States,California,San Diego,Tech Blogs,Servers,2,6
2095,Clayborne Costan,Business,Student,Canada,Ontario,Milton,Social Networks,XPS,44,12
2096,Judie Readie,Personal,Chef,Canada,Ontario,Ottawa,Tech Blogs,XPS,1,12
2097,Vivyan Lynock,Personal,Software Engineer,United States,California,Sacramento,Recommendation,Servers,2,24
2098,Sarena Abrahamoff,Personal,Software Engineer,United States,California,Huntington Beach,Social Networks,Servers,1,6
2099,Dickie Yves,Business,Software Engineer,Canada,Ontario,Clarence-Rockland,Offline,XPS,76,6
2100,Cassie Daunay,Personal,Software Engineer,United States,California,Sacramento,Recommendation,Servers,1,12
2101,Theo Dransfield,Personal,Game developer,Canada,Ontario,Fort Erie,Social Networks,XPS,2,6
2102,Alain Karpeev,Personal,Game developer,Canada,Ontario,Atikokan,Offline,XPS,1,6
2103,Rozele Tomson,Business,Chef,United States,California,San Francisco,Tech Blogs,Servers,29,36
2104,Amargo Satchel,Personal,Chef,Canada,Ontario,Waterloo,Recommendation,XPS,1,24
2105,Zabrina Carpe,Business,Chef,United States,California,San Jose,Social Networks,Servers,41,24
2106,Thacher Oselton,Personal,Game developer,Canada,Ontario,Bancroft,Offline,XPS,1,36
2107,Alf Winscomb,Personal,Chef,United States,California,San Diego,Social Networks,Servers,1,36
2108,Mike Gerok,Business,Software Engineer,United States,California,Salinas,Tech Blogs,Servers,71,12
2109,Shannah Cufley,Personal,Chef,United States,California,Anaheim,Social Networks,Alienware,2,12
2110,Muhammad Turrell,Business,Chef,Canada,Ontario,Fort Erie,Offline,Inspiron,32,36
2111,Emile Reary,Personal,Chef,Canada,Ontario,Thorold,Tech Blogs,XPS,1,24
2112,Josie Skein,Business,Software Engineer,United States,California,Los Angeles,Tech Blogs,Servers,66,24
2113,Andris Claiton,Business,Software Engineer,Canada,Ontario,Delaware,Social Networks,XPS,59,12
2114,Opal Figg,Personal,Software Engineer,United States,California,San Jose,Offline,Servers,1,6
2115,Cynthy Tethcote,Personal,Chef,United States,California,Alhambra,Tech Blogs,Servers,2,6
2116,Sheila Devita,Personal,Chef,Canada,Ontario,Orillia,Tech Blogs,XPS,2,12
2117,Caprice Prendeguest,Personal,Game developer,United States,California,Pasadena,Offline,Servers,1,6
2118,Thibaud Ivashintsov,Personal,Chef,United States,California,Richmond,Tech Blogs,Servers,2,6
2119,Paul Lankford,Personal,Software Engineer,Canada,Ontario,St. Catharines,Recommendation,XPS,2,6
2120,Orelie Gilhool,Business,Game developer,United States,California,San Rafael,Tech Blogs,Servers,20,12
2121,Katti Stranieri,Personal,Chef,Canada,Ontario,Stratford,Tech Blogs,XPS,1,36
2122,Leoine Chelley,Personal,Chef,United States,California,San Jose,Recommendation,Servers,1,6
2123,Adler Vassar,Business,Game developer,Canada,Ontario,South River,Social Networks,XPS,79,24
2124,Carline MacCarrane,Personal,Chef,Canada,Ontario,Prince Edward,Recommendation,XPS,1,24
2125,Pincas Ottosen,Personal,Chef,Canada,Ontario,Orangeville,Tech Blogs,XPS,2,24
2126,Bernice Skirvin,Personal,Game developer,Canada,Ontario,Greater Napanee,Recommendation,XPS,1,24
2127,Auberta Dooney,Personal,Game developer,Canada,Ontario,Casselman,Social Networks,XPS,2,6
2128,Brook Dobbings,Business,Chef,Canada,Ontario,Mississauga,Tech Blogs,XPS,91,12
2129,Pippa Ruddock,Business,Software Engineer,United States,California,Santa Cruz,Recommendation,Servers,36,12
2130,Fidelity Monard,Personal,Game developer,Canada,Ontario,Thessalon,Offline,XPS,2,24
2131,Lukas Simmonite,Business,Software Engineer,Canada,Ontario,Aylmer,Offline,XPS,73,36
2132,Yankee McCurley,Personal,Student,Canada,Ontario,Powassan,Offline,XPS,2,24
2133,Marlena Gavrielli,Business,Student,Canada,Ontario,Thorold,Recommendation,XPS,52,6
2134,Olivia Aleevy,Personal,Software Engineer,United States,California,Santa Cruz,Recommendation,Servers,1,36
2135,Cyndy Le Grove,Personal,Software Engineer,United States,California,San Jose,Social Networks,Servers,2,36
2136,Giovanni Burchard,Business,Student,United States,California,San Diego,Offline,Servers,42,24
2137,Teena Walster,Personal,Game developer,Canada,Ontario,Milton,Recommendation,XPS,1,24
2138,Jamill Donahue,Personal,Game developer,United States,California,Pasadena,Recommendation,Servers,1,24
2139,Edsel Fass,Business,Chef,Canada,Ontario,Dorchester,Recommendation,XPS,96,6
2140,Hector Drowsfield,Business,Game developer,Canada,Ontario,Concord,Social Networks,XPS,54,6
2141,Con Smyley,Personal,Chef,Canada,Ontario,Clarence-Rockland,Recommendation,XPS,2,36
2142,Caressa Skellington,Personal,Student,United States,California,Sacramento,Recommendation,Servers,1,24
2143,Aubrey Sandham,Personal,Chef,Canada,Ontario,Kirkland Lake,Social Networks,XPS,2,36
2144,Caroljean Golsthorp,Business,Chef,Canada,Ontario,Timmins,Social Networks,XPS,24,36
2145,Rianon Macura,Personal,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,2,36
2146,Robin Ruger,Personal,Game developer,Canada,Ontario,Petawawa,Offline,XPS,1,6
2147,Shaw Laxen,Personal,Student,United States,California,Los Angeles,Offline,Servers,2,12
2148,Jaine Cicetti,Personal,Student,United States,California,Inglewood,Tech Blogs,Servers,1,12
2149,Christan Scholling,Personal,Game developer,Canada,Ontario,St. Thomas,Tech Blogs,XPS,1,12
2150,Millard Bulteel,Personal,Game developer,United States,California,Los Angeles,Social Networks,Servers,2,12
2151,Constantina Haccleton,Personal,Game developer,Canada,Ontario,Kitchener,Recommendation,XPS,1,12
2152,Gustav Shawcross,Personal,Student,Canada,Ontario,Napanee Downtown,Offline,XPS,2,12
2153,Dallas Hannaford,Business,Student,United States,California,San Jose,Tech Blogs,Servers,23,24
2154,Cornell Bowerman,Business,Student,Canada,Ontario,Peterborough,Tech Blogs,XPS,30,12
2155,Esdras Cock,Personal,Software Engineer,United States,California,Lancaster,Offline,Servers,2,36
2156,Annamarie Bendare,Business,Software Engineer,Canada,Ontario,South River,Tech Blogs,XPS,78,24
2157,Mariam MacKean,Personal,Game developer,United States,California,Los Angeles,Social Networks,Servers,2,6
2158,Binni Meader,Business,Software Engineer,Canada,Ontario,Oshawa,Tech Blogs,XPS,87,12
2159,Carl Zanazzi,Business,Chef,United States,California,Chico,Recommendation,Servers,85,12
2160,Baily Dyet,Personal,Chef,Canada,Ontario,Woodstock,Recommendation,XPS,1,24
2161,Grange Burkin,Business,Software Engineer,United States,California,Stockton,Tech Blogs,Servers,77,6
2162,Hurleigh Isgate,Personal,Student,Canada,Ontario,Kitchener,Offline,Alienware,1,36
2163,Addy Stacey,Personal,Game developer,Canada,Ontario,Amherstburg,Recommendation,XPS,1,12
2164,Kay Kenington,Business,Student,Canada,Ontario,Kitchener,Social Networks,XPS,41,24
2165,Abe Flanaghan,Personal,Game developer,United States,California,Stockton,Tech Blogs,Alienware,2,24
2166,Minnnie Davisson,Personal,Chef,United States,California,Santa Cruz,Tech Blogs,Servers,2,6
2167,Abbey Claque,Personal,Software Engineer,United States,California,San Diego,Recommendation,Servers,2,6
2168,Rachelle Helliar,Personal,Chef,Canada,Ontario,Amherstburg,Recommendation,XPS,1,24
2169,Ripley Cajkler,Business,Student,United States,California,Pasadena,Offline,Servers,55,24
2170,Everett Pattenden,Business,Student,Canada,Ontario,St. Catharines,Offline,XPS,54,36
2171,Dulcine Caffin,Personal,Game developer,Canada,Ontario,Barrie,Offline,Inspiron,1,12
2172,Filmer Raspison,Business,Chef,Canada,Ontario,Mattawa,Social Networks,XPS,33,24
2173,Emerson Ballay,Personal,Software Engineer,United States,California,Santa Rosa,Offline,Servers,1,36
2174,Andriana Evert,Business,Chef,Canada,Ontario,Arnprior,Offline,XPS,21,36
2175,Car Jerger,Personal,Software Engineer,United States,California,Torrance,Tech Blogs,Servers,1,6
2176,Violet Scougal,Business,Chef,United States,California,San Bernardino,Tech Blogs,Servers,79,24
2177,Adolph Matiashvili,Business,Chef,Canada,Ontario,Petrolia,Tech Blogs,Alienware,31,6
2178,Silva Stonhard,Personal,Chef,United States,California,Sacramento,Tech Blogs,Servers,1,12
2179,Kelly Rudgard,Business,Software Engineer,United States,California,Corona,Offline,Servers,58,36
2180,Gussie Harmant,Personal,Student,United States,California,Santa Ana,Social Networks,Servers,2,24
2181,Austin Grayshan,Business,Game developer,United States,California,Oakland,Offline,Servers,24,24
2182,Selestina Asals,Business,Student,United States,California,Los Angeles,Recommendation,Servers,72,36
2183,Babbie Cody,Personal,Game developer,United States,California,Sacramento,Social Networks,Servers,2,12
2184,Jarid Watmough,Business,Student,Canada,Ontario,Bells Corners,Recommendation,XPS,68,6
2185,Enrico Daly,Business,Software Engineer,Canada,Ontario,Carleton Place,Offline,XPS,48,6
2186,Suzann Gladwin,Business,Student,Canada,Ontario,Midland,Offline,XPS,35,36
2187,Inessa Tothacot,Business,Student,United States,California,Fresno,Recommendation,Servers,91,12
2188,Marnie Herculeson,Personal,Chef,United States,California,Sacramento,Offline,Servers,2,24
2189,Jobyna Sommerland,Business,Student,United States,California,Mountain View,Offline,XPS,38,6
2190,Goraud MacEllen,Personal,Student,United States,California,Garden Grove,Tech Blogs,Servers,1,6
2191,Giffer Shepstone,Personal,Student,United States,California,Garden Grove,Recommendation,Servers,1,12
2192,Zackariah Moylane,Business,Chef,United States,California,Glendale,Recommendation,Servers,84,12
2193,Arliene Knee,Business,Chef,Canada,Ontario,Petawawa,Offline,XPS,95,24
2194,Ricard Kilsby,Personal,Chef,United States,California,Los Angeles,Social Networks,Servers,2,36
2195,Ira Willshee,Business,Student,Canada,Ontario,Gananoque,Offline,XPS,77,6
2196,Massimiliano Himpson,Business,Chef,United States,California,Garden Grove,Recommendation,Alienware,62,12
2197,Anatol Eskrick,Personal,Chef,United States,California,San Jose,Social Networks,Servers,2,36
2198,Kevyn Orcas,Business,Game developer,Canada,Ontario,Hanover,Offline,XPS,68,12
2199,Nerissa Golby,Personal,Game developer,United States,California,Alhambra,Offline,Servers,1,12
2200,Kris Dorbon,Personal,Student,United States,California,Sacramento,Offline,Servers,2,6
2201,Jeannine Brouncker,Business,Game developer,United States,California,San Jose,Tech Blogs,Servers,72,36
2202,Gran Kille,Personal,Chef,United States,California,Fresno,Recommendation,Servers,2,12
2203,Ediva Swinford,Business,Game developer,United States,California,Los Angeles,Recommendation,Servers,100,12
2204,Phaedra Brill,Personal,Student,United States,California,Van Nuys,Tech Blogs,Servers,2,12
2205,Valerie Hamly,Business,Software Engineer,Canada,Ontario,Thessalon,Offline,XPS,43,24
2206,Mariette Dobrowolny,Business,Student,Canada,Ontario,Kapuskasing,Recommendation,XPS,73,12
2207,Lezley Gladebeck,Business,Chef,Canada,Ontario,Kirkland Lake,Social Networks,XPS,52,6
2208,Holli Shewsmith,Personal,Chef,United States,California,Los Angeles,Offline,Servers,1,36
2209,Romeo Stichall,Business,Game developer,United States,California,Salinas,Social Networks,Alienware,51,36
2210,Ashely McCarrison,Personal,Student,Canada,Ontario,Bells Corners,Social Networks,XPS,2,36
2211,Modesta Gawthorpe,Personal,Student,Canada,Ontario,Newmarket,Offline,XPS,2,24
2212,Calvin Tortoishell,Business,Game developer,Canada,Ontario,Atikokan,Tech Blogs,XPS,81,36
2213,Maxim Nottle,Personal,Chef,Canada,Ontario,Neebing,Offline,XPS,1,12
2214,Dina Cossom,Business,Student,United States,California,San Francisco,Tech Blogs,Servers,65,12
2215,Chico Martinyuk,Personal,Chef,Canada,Ontario,Pembroke,Tech Blogs,XPS,2,24
2216,Catherina Skillitt,Personal,Student,United States,California,Los Angeles,Social Networks,Servers,2,12
2217,Jaime Bousfield,Business,Student,United States,California,San Diego,Tech Blogs,Servers,37,36
2218,Tomkin Kolodziejski,Personal,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,2,6
2219,Elijah Attreed,Business,Student,Canada,Ontario,Belleville,Recommendation,XPS,81,24
2220,Trefor Canner,Personal,Student,United States,California,Los Angeles,Tech Blogs,XPS,1,12
2221,Evyn Gouldstraw,Business,Student,Canada,Ontario,Collingwood,Social Networks,XPS,60,24
2222,Tilly Gomes,Business,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,69,12
2223,Danila Pendall,Business,Game developer,United States,California,Simi Valley,Tech Blogs,Servers,63,24
2224,Salome Brandle,Business,Chef,Canada,Ontario,Rayside-Balfour,Offline,XPS,35,24
2225,Herschel Drage,Personal,Chef,Canada,Ontario,Toronto,Social Networks,XPS,2,6
2226,Elijah Banasik,Business,Student,United States,California,Los Angeles,Recommendation,Alienware,58,24
2227,Hillery Gilmore,Business,Game developer,Canada,Ontario,Innisfil,Offline,XPS,63,36
2228,Valaree Volk,Business,Chef,Canada,Ontario,Newmarket,Social Networks,XPS,28,6
2229,Kirbee Baytrop,Business,Software Engineer,United States,California,Huntington Beach,Tech Blogs,Servers,74,36
2230,Felita Fortey,Personal,Software Engineer,Canada,Ontario,Espanola,Offline,XPS,1,6
2231,Augustine See,Personal,Chef,Canada,Ontario,Port Colborne,Offline,XPS,2,12
2232,Kial Bettison,Business,Game developer,United States,California,San Jose,Tech Blogs,Servers,23,12
2233,Renelle Rodnight,Business,Software Engineer,United States,California,Bakersfield,Social Networks,Servers,87,12
2234,Stephan Cosgrave,Personal,Software Engineer,United States,California,San Francisco,Social Networks,Servers,2,6
2235,Katee Dufer,Personal,Chef,Canada,Ontario,Camlachie,Social Networks,XPS,2,36
2236,Zilvia Brusin,Business,Software Engineer,Canada,Ontario,Parry Sound,Recommendation,XPS,20,36
2237,Jori Fant,Personal,Game developer,United States,California,San Diego,Offline,Servers,2,6
2238,Barbaraanne Haythorne,Business,Chef,Canada,Ontario,Kapuskasing,Social Networks,XPS,80,24
2239,Maude Castagne,Business,Game developer,Canada,Ontario,Niagara Falls,Social Networks,XPS,27,6
2240,Demetri Seniour,Personal,Game developer,United States,California,Stockton,Recommendation,Servers,1,24
2241,Pepita Oxtarby,Business,Chef,United States,California,Van Nuys,Social Networks,Servers,64,12
2242,Haley Kohrsen,Business,Chef,United States,California,San Diego,Social Networks,Servers,31,24
2243,Leanor Furmenger,Personal,Software Engineer,United States,California,Bakersfield,Social Networks,Servers,2,36
2244,Britt Ferrino,Personal,Software Engineer,Canada,Ontario,St. Thomas,Social Networks,Inspiron,1,36
2245,Iormina Decaze,Personal,Student,Canada,Ontario,St. Catharines,Tech Blogs,XPS,1,12
2246,Marinna Jamme,Business,Chef,Canada,Ontario,Atikokan,Offline,XPS,23,24
2247,Amelia Matei,Personal,Student,Canada,Ontario,Vaughan,Offline,XPS,2,12
2248,Keith Rennard,Business,Student,United States,California,Santa Ana,Tech Blogs,Servers,33,24
2249,Matthiew Beau,Business,Software Engineer,United States,California,Bakersfield,Social Networks,Servers,23,36
2250,Madlin Wickey,Business,Game developer,United States,California,Chico,Social Networks,Servers,49,24
2251,Annette Silverman,Business,Game developer,Canada,Ontario,Lambton Shores,Offline,XPS,37,36
2252,Elisabeth Bonnell,Business,Chef,Canada,Ontario,Owen Sound,Tech Blogs,XPS,94,36
2253,Rudolf Mirralls,Personal,Game developer,United States,California,Newport Beach,Offline,Servers,2,12
2254,Lelah Broadey,Business,Game developer,Canada,Ontario,Norfolk County,Recommendation,XPS,98,12
2255,Auberon Saddington,Business,Student,United States,California,Los Angeles,Tech Blogs,Servers,26,12
2256,Lizzie Ferber,Business,Student,United States,California,Garden Grove,Offline,Alienware,26,6
2257,Randene Ply,Personal,Software Engineer,United States,California,Santa Ana,Social Networks,Servers,1,24
2258,Salmon Josephov,Personal,Game developer,United States,California,Inglewood,Offline,Alienware,2,12
2259,Cash Kunes,Business,Software Engineer,Canada,Ontario,Barrie,Offline,XPS,79,12
2260,Adara Franckton,Personal,Game developer,Canada,Ontario,Rayside-Balfour,Offline,XPS,1,24
2261,Devlin Daley,Personal,Student,Canada,Ontario,Smiths Falls,Social Networks,XPS,1,24
2262,Frederique Ravillas,Business,Software Engineer,Canada,Ontario,St. Thomas,Social Networks,XPS,41,36
2263,Cornelle Leng,Personal,Game developer,United States,California,San Diego,Offline,Servers,1,12
2264,Lorry Tabourel,Personal,Game developer,Canada,Ontario,Prince Edward,Recommendation,XPS,1,36
2265,Tera Abarough,Personal,Student,Canada,Ontario,London,Social Networks,XPS,1,36
2266,Beaufort Bailes,Business,Chef,United States,California,Bakersfield,Recommendation,XPS,93,12
2267,Belia Kliemann,Personal,Software Engineer,United States,California,Van Nuys,Offline,Servers,1,12
2268,Starlin Hearson,Business,Software Engineer,United States,California,Corona,Tech Blogs,Servers,58,36
2269,Herbert Dwyr,Personal,Student,Canada,Ontario,Concord,Offline,XPS,2,6
2270,Richard Glaysher,Business,Student,United States,California,Sacramento,Recommendation,Servers,24,12
2271,Sasha Delap,Personal,Chef,United States,California,San Francisco,Social Networks,Servers,2,12
2272,Melitta Whitlow,Business,Game developer,United States,California,Santa Cruz,Offline,Servers,90,36
2273,Hastings Ricoald,Personal,Student,Canada,Ontario,Espanola,Offline,XPS,2,12
2274,Kiel Fosbraey,Business,Chef,United States,California,Fresno,Social Networks,Servers,59,24
2275,Marcel Duffrie,Business,Game developer,United States,California,Chico,Social Networks,Alienware,82,36
2276,Aubrey Keddey,Business,Software Engineer,Canada,Ontario,Amherstburg,Offline,Alienware,81,6
2277,Drona Sherrin,Personal,Game developer,United States,California,Pasadena,Recommendation,Servers,1,12
2278,Milo Goodridge,Business,Chef,United States,California,Sacramento,Tech Blogs,Servers,31,36
2279,Beauregard Smallwood,Personal,Student,Canada,Ontario,Powassan,Recommendation,XPS,2,24
2280,Brooks Meneghi,Business,Chef,Canada,Ontario,Arnprior,Recommendation,XPS,99,36
2281,Irvin Toulamain,Personal,Software Engineer,United States,California,San Francisco,Recommendation,Servers,1,24
2282,Irwin Foottit,Business,Student,United States,California,San Francisco,Recommendation,Servers,50,24
2283,Monroe Hobell,Business,Game developer,Canada,Ontario,Concord,Tech Blogs,Inspiron,59,36
2284,Sophie Restieaux,Personal,Software Engineer,United States,California,San Francisco,Social Networks,Servers,1,36
2285,Trumann Nickels,Business,Game developer,Canada,Ontario,Mattawa,Recommendation,XPS,33,36
2286,Stefania Toby,Business,Chef,United States,California,Fullerton,Offline,Servers,20,12
2287,Phillipp Kendrew,Business,Software Engineer,Canada,Ontario,Iroquois Falls,Tech Blogs,XPS,87,36
2288,Pablo Vials,Personal,Game developer,Canada,Ontario,Willowdale,Recommendation,XPS,2,24
2289,Tomas Guillond,Personal,Game developer,United States,California,San Jose,Offline,Servers,1,24
2290,Claudelle Duddle,Business,Software Engineer,United States,California,Pasadena,Tech Blogs,Servers,82,24
2291,Lonny Trouncer,Personal,Software Engineer,United States,California,Oceanside,Social Networks,Servers,1,24
2292,Heinrik Chaddock,Business,Game developer,Canada,Ontario,South River,Offline,XPS,99,6
2293,Drucill Kinane,Personal,Student,Canada,Ontario,Vaughan,Recommendation,XPS,2,6
2294,Sibilla Hefner,Business,Chef,Canada,Ontario,Concord,Social Networks,XPS,99,12
2295,Manda McCrea,Personal,Student,Canada,Ontario,Mississauga,Social Networks,Alienware,1,12
2296,Flss Fishburn,Personal,Game developer,Canada,Ontario,Camlachie,Social Networks,XPS,2,6
2297,Jock Wenman,Business,Chef,United States,California,Irvine,Offline,Servers,59,36
2298,Grover Brosi,Business,Game developer,United States,California,Los Angeles,Offline,XPS,94,6
2299,Sondra Cowdrey,Business,Game developer,Canada,Ontario,Gananoque,Tech Blogs,XPS,59,6
2300,Abey Wolledge,Personal,Software Engineer,Canada,Ontario,Oakville,Recommendation,XPS,2,6
2301,Rolph Crellim,Business,Game developer,Canada,Ontario,Collingwood,Offline,XPS,25,12
2302,Burnard Darth,Business,Game developer,United States,California,Oakland,Recommendation,Servers,66,12
2303,Anna Greave,Business,Game developer,United States,California,Los Angeles,Recommendation,Servers,37,12
2304,Gil Hamner,Business,Software Engineer,Canada,Ontario,Marathon,Recommendation,XPS,60,36
2305,Chico Lehrian,Business,Student,United States,California,Santa Cruz,Offline,Servers,79,6
2306,Ebba Boydell,Personal,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,1,6
2307,Minnie Courtman,Business,Chef,Canada,Ontario,Bells Corners,Tech Blogs,XPS,71,12
2308,Harriett Barrett,Business,Chef,United States,California,Long Beach,Social Networks,Servers,49,12
2309,Morganne Plaister,Business,Chef,United States,California,San Jose,Offline,Servers,90,12
2310,Hamlen Gleave,Personal,Game developer,United States,California,Stockton,Social Networks,XPS,1,12
2311,Bartholemy Pettyfar,Business,Student,United States,California,San Diego,Recommendation,Servers,79,24
2312,Hanna Strode,Personal,Game developer,Canada,Ontario,Brampton,Recommendation,XPS,1,36
2313,Cara Eastbrook,Business,Chef,United States,California,Huntington Beach,Offline,Servers,32,6
2314,Lynde Ahrens,Business,Student,United States,California,Sacramento,Tech Blogs,Servers,72,12
2315,Nessie Proswell,Personal,Game developer,United States,California,San Jose,Social Networks,Servers,2,36
2316,Johann Brobeck,Personal,Game developer,Canada,Ontario,Midland,Tech Blogs,Alienware,2,36
2317,Grantham Eisig,Personal,Student,Canada,Ontario,Dorchester,Social Networks,XPS,1,12
2318,Druci Chretien,Business,Game developer,Canada,Ontario,Innisfil,Offline,XPS,36,36
2319,Eziechiele Lumsdall,Personal,Student,Canada,Ontario,Wingham,Recommendation,XPS,2,12
2320,Uri McCosh,Personal,Game developer,Canada,Ontario,North York,Social Networks,XPS,2,36
2321,Arturo Jaan,Personal,Software Engineer,Canada,Ontario,Norfolk County,Recommendation,XPS,1,24
2322,Arin Sporrij,Business,Student,Canada,Ontario,Kapuskasing,Recommendation,Alienware,44,24
2323,Nickey Linck,Business,Student,United States,California,Fresno,Tech Blogs,Servers,82,12
2324,Carr Schettini,Personal,Student,United States,California,San Francisco,Recommendation,Servers,1,6
2325,Pauletta Hassent,Business,Student,United States,California,San Jose,Recommendation,Servers,79,12
2326,Crissy Arrundale,Business,Software Engineer,United States,California,Fresno,Recommendation,Servers,45,12
2327,Helen-elizabeth Kingerby,Business,Software Engineer,Canada,Ontario,Angus,Tech Blogs,XPS,100,12
2328,Pacorro Stummeyer,Business,Student,United States,California,Inglewood,Recommendation,Servers,71,36
2329,Chelsy Jentin,Personal,Student,United States,California,Fullerton,Tech Blogs,Servers,2,6
2330,Adaline Strongitharm,Business,Student,Canada,Ontario,Woodstock,Offline,XPS,85,24
2331,Orv Purseglove,Personal,Game developer,United States,California,Whittier,Offline,Servers,1,36
2332,Mortie Wellesley,Business,Chef,Canada,Ontario,Sarnia,Tech Blogs,XPS,29,24
2333,Ediva Biddles,Business,Chef,United States,California,Oakland,Tech Blogs,Servers,94,24
2334,Vail Carlow,Business,Chef,United States,California,Los Angeles,Recommendation,Servers,55,6
2335,Dwain Giblin,Personal,Student,United States,California,Inglewood,Offline,Servers,1,12
2336,Killie Fancourt,Business,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,70,36
2337,Cissiee Canelas,Personal,Game developer,United States,California,Oakland,Social Networks,Servers,2,36
2338,Gabriela Huckster,Personal,Game developer,United States,California,San Rafael,Social Networks,Servers,1,36
2339,Salomon Coneau,Personal,Student,United States,California,Corona,Social Networks,Servers,2,12
2340,Rosabelle Gilcrist,Business,Software Engineer,Canada,Ontario,Oshawa,Recommendation,XPS,38,24
2341,Ali Sherbourne,Business,Software Engineer,United States,California,Orange,Tech Blogs,Servers,30,12
2342,Sukey Sharvill,Business,Chef,United States,California,Orange,Tech Blogs,Servers,74,36
2343,Verile Northin,Personal,Software Engineer,United States,California,San Jose,Offline,Servers,2,6
2344,Chance Clampe,Business,Chef,Canada,Ontario,Norfolk County,Offline,XPS,76,12
2345,Fulton Sabban,Personal,Student,Canada,Ontario,Marathon,Social Networks,XPS,2,6
2346,Alic Lamke,Business,Software Engineer,United States,California,Simi Valley,Social Networks,Servers,69,24
2347,Eugine Spitell,Business,Game developer,United States,California,Van Nuys,Offline,Servers,31,6
2348,Hanan Kelsow,Personal,Game developer,Canada,Ontario,Casselman,Offline,XPS,2,24
2349,Easter Huggons,Personal,Software Engineer,United States,California,Sacramento,Offline,Servers,2,12
2350,Jeffy Derycot,Business,Chef,Canada,Ontario,Woodstock,Tech Blogs,Inspiron,44,36
2351,Stevana Schach,Personal,Software Engineer,United States,California,Sacramento,Recommendation,Servers,2,24
2352,Nollie Valadez,Business,Software Engineer,Canada,Ontario,Wingham,Offline,Alienware,47,12
2353,Arnoldo Crinkley,Personal,Software Engineer,United States,California,Corona,Offline,XPS,1,6
2354,Merilee Smitherham,Personal,Student,United States,California,Carlsbad,Recommendation,Servers,2,36
2355,Daisey Napoleone,Business,Game developer,Canada,Ontario,Carleton Place,Offline,XPS,92,6
2356,Meredeth Eatttok,Personal,Game developer,United States,California,Fresno,Social Networks,Servers,2,24
2357,Enoch Leitche,Business,Game developer,United States,California,Torrance,Tech Blogs,Servers,27,24
2358,Trixie Braniff,Business,Chef,Canada,Ontario,Concord,Offline,XPS,21,12
2359,Greggory Turnor,Business,Software Engineer,United States,California,Los Angeles,Social Networks,Servers,38,24
2360,Lou Dollman,Business,Game developer,United States,California,San Diego,Social Networks,Servers,46,12
2361,Archambault Morrilly,Business,Student,Canada,Ontario,Ajax,Recommendation,XPS,77,6
2362,Merl Hardaway,Business,Chef,United States,California,San Diego,Offline,Servers,87,6
2363,Orson Carlyon,Personal,Software Engineer,Canada,Ontario,Angus,Recommendation,XPS,1,6
2364,Theadora Antos,Business,Game developer,United States,California,Stockton,Offline,Servers,93,36
2365,Vida McKirdy,Personal,Chef,United States,California,Sacramento,Recommendation,Servers,2,36
2366,Hamel Penas,Personal,Student,Canada,Ontario,Brampton,Tech Blogs,XPS,1,36
2367,Emilie Sills,Personal,Student,United States,California,Torrance,Tech Blogs,Servers,1,24
2368,Lorri Harce,Business,Game developer,United States,California,San Bernardino,Tech Blogs,Servers,27,24
2369,Zelig Manntschke,Business,Game developer,United States,California,Whittier,Offline,Servers,90,36
2370,Berrie Anelay,Personal,Game developer,Canada,Ontario,Kitchener,Social Networks,XPS,2,24
2371,Sherlock Costar,Business,Game developer,Canada,Ontario,Renfrew,Social Networks,XPS,26,24
2372,Myrta Streater,Business,Student,United States,California,Los Angeles,Social Networks,Servers,33,36
2373,Lois Burn,Personal,Student,United States,California,Fullerton,Tech Blogs,Servers,1,6
2374,Clarine Stallworth,Business,Software Engineer,United States,California,Sacramento,Recommendation,Servers,60,12
2375,Coletta Kelson,Business,Student,Canada,Ontario,Keswick,Social Networks,XPS,51,12
2376,Alyse Surgeon,Business,Software Engineer,Canada,Ontario,Waterloo,Offline,XPS,53,36
2377,Krystyna Furness,Business,Software Engineer,Canada,Ontario,Ingersoll,Offline,XPS,34,24
2378,Allx Lydall,Business,Student,Canada,Ontario,North York,Social Networks,XPS,36,24
2379,Wynn Karlicek,Business,Game developer,Canada,Ontario,Mattawa,Social Networks,XPS,100,12
2380,Lion Murname,Business,Chef,United States,California,Oakland,Tech Blogs,Servers,54,12
2381,Roz Scimonelli,Personal,Student,Canada,Ontario,Smiths Falls,Social Networks,XPS,2,24
2382,Harold Lorryman,Personal,Student,Canada,Ontario,Thessalon,Offline,XPS,2,6
2383,Celia Dragon,Personal,Chef,Canada,Ontario,Orangeville,Recommendation,XPS,1,12
2384,Kippar Schwandermann,Business,Student,Canada,Ontario,Gananoque,Social Networks,XPS,68,6
2385,Peirce Karpeev,Personal,Chef,United States,California,San Diego,Recommendation,Servers,2,36
2386,August Feveryear,Personal,Game developer,Canada,Ontario,Parry Sound,Offline,XPS,1,6
2387,Olympia Wolffers,Business,Chef,United States,California,Burbank,Recommendation,Alienware,92,6
2388,Gallagher Garms,Personal,Student,Canada,Ontario,Niagara Falls,Recommendation,XPS,2,24
